imdb_id,original_title,poster_path
tt10443846,Yeh Saali Aashiqui,data\posters\tt10443846.jpg
tt1826051,Yeh Dooriyan,data\posters\tt1826051.jpg
tt2429640,Murder 3,data\posters\tt2429640.jpg
tt3531604,Gang of Ghosts,data\posters\tt3531604.jpg
tt2321492,Krishna Aur Kans,data\posters\tt2321492.jpg
tt6264938,Kesari,data\posters\tt6264938.jpg
tt9239772,Setters,data\posters\tt9239772.jpg
tt2963974,M Cream,data\posters\tt2963974.jpg
tt7777196,Thackeray,data\posters\tt7777196.jpg
tt3636776,Samrat & Co.,data\posters\tt3636776.jpg
tt2063745,Kya Dilli Kya Lahore,data\posters\tt2063745.jpg
tt2191641,Chaar Din Ki Chandni,data\posters\tt2191641.jpg
tt9248940,Dream Girl,data\posters\tt9248940.jpg
tt1578261,Break Ke Baad,data\posters\tt1578261.jpg
tt1437367,Thanks Maa,data\posters\tt1437367.jpg
tt3302962,Shaadi Ke Side Effects,data\posters\tt3302962.jpg
tt3005850,Sooper Se Ooper,data\posters\tt3005850.jpg
tt5638474,Wajah Tum Ho,data\posters\tt5638474.jpg
tt3334348,Heartless,data\posters\tt3334348.jpg
tt2188893,Staying Alive,data\posters\tt2188893.jpg
tt7549484,Firangi,data\posters\tt7549484.jpg
tt1877691,Love Breakups Zindagi,data\posters\tt1877691.jpg
tt5325684,Hate Story IV,data\posters\tt5325684.jpg
tt4979110,Daas Dev,data\posters\tt4979110.jpg
tt2622130,Jayantabhai Ki Luv Story,data\posters\tt2622130.jpg
tt6299040,The Ghazi Attack,data\posters\tt6299040.jpg
tt3565354,Karar: The Deal,data\posters\tt3565354.jpg
tt1606162,Aakhari Decision,data\posters\tt1606162.jpg
tt10324144,Article 15,data\posters\tt10324144.jpg
tt2551378,Bullett Raja,data\posters\tt2551378.jpg
tt2976176,Lakshmi,data\posters\tt2976176.jpg
tt8983180,Made in China,data\posters\tt8983180.jpg
tt2429930,Khwaabb,data\posters\tt2429930.jpg
tt11046300,Ujda Chaman,data\posters\tt11046300.jpg
tt1736552,Breakaway,data\posters\tt1736552.jpg
tt6118134,Anna,data\posters\tt6118134.jpg
tt2979920,Bombay Velvet,data\posters\tt2979920.jpg
tt2341766,Nautanki Saala!,data\posters\tt2341766.jpg
tt2196638,Gulabi Gang,data\posters\tt2196638.jpg
tt4635372,Masaan,data\posters\tt4635372.jpg
tt5052972,Yaara Silly Silly,data\posters\tt5052972.jpg
tt5946128,Dear Zindagi,data\posters\tt5946128.jpg
tt1535467,Patiala House,data\posters\tt1535467.jpg
tt3322420,Queen,data\posters\tt3322420.jpg
tt2292625,Chakravyuh,data\posters\tt2292625.jpg
tt6395306,Union Leader,data\posters\tt6395306.jpg
tt11007050,#Yaaram,data\posters\tt11007050.jpg
tt1694542,Tanu Weds Manu,data\posters\tt1694542.jpg
tt2176013,Jab Tak Hai Jaan,data\posters\tt2176013.jpg
